File Name:,G:\PUM\DATA\MicroPEM_010318_160408raw.csv
Download Date:,01/03/2018
Total Download Time (s):,3.3

Device Serial #:,RTI321177N
Date/Time Hardware:,5/24/2016
Date/Time Software:,1/27/2017,v2.0.6236.20371
Participant ID#:,
Filter ID#:,S000000
Participant Weight (kg),NA
Inlet Aerosol Size:,PM2.5
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8
System Times,No cycling - Always On
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,87,10
Temperature,1.0000,53,30
Humidity,1.0000,-8,10
Inlet Pressure,4095.0000,0,30,1920,1408
Orifice Pressure,4095.0000,0,30,1920,1408
Flow,,,30,900,200,0.5
Accelerometer,,,30
Battery,,,60
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid

5/24/2016,09:23:10,248.752,250.182,22.9,35.6,4.8,1.95,0.81,0.50,,,,,,,
5/24/2016,09:23:20,65.879,67.312,,35.1,,,,,,,,,,,
5/24/2016,09:23:30,85.941,88.805,,35.0,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:23:40,60.226,61.660,22.8,34.7,,1.95,0.81,0.50,,,,,,,
5/24/2016,09:23:50,109.153,110.589,,34.2,,,,,,,,,,,
5/24/2016,09:24:00,74.701,76.138,,34.1,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:24:10,63.314,64.753,22.8,33.6,4.8,1.94,0.82,0.50,,,,,,,
5/24/2016,09:24:20,86.466,89.348,,33.1,,,,,,,,,,,
5/24/2016,09:24:30,46.105,46.105,,33.2,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:24:40,86.583,88.026,22.9,32.6,,1.95,0.82,0.50,,,,,,,
5/24/2016,09:24:50,23.127,24.572,,32.0,,,,,,,,,,,
5/24/2016,09:25:00,29.020,30.471,,30.6,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:25:10,37.641,37.641,22.9,31.5,4.9,1.95,0.81,0.50,,,,,,,
5/24/2016,09:25:20,23.144,24.590,,31.8,,,,,,,,,,,
5/24/2016,09:25:30,54.979,56.425,,31.7,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:25:40,26.034,27.481,22.9,31.8,,1.95,0.81,0.50,,,,,,,
5/24/2016,09:25:50,52.172,55.070,,31.1,,,,,,,,,,,
5/24/2016,09:26:00,26.075,26.075,,31.2,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:26:10,63.686,63.686,23.0,31.5,4.9,1.95,0.81,0.50,,,,,,,
5/24/2016,09:26:20,57.872,59.319,,31.7,,,,,,,,,,,
5/24/2016,09:26:30,37.585,37.585,,32.0,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:26:40,26.042,28.936,22.9,31.7,,1.96,0.81,0.50,,,,,,,
5/24/2016,09:26:50,28.951,28.951,,31.5,,,,,,,,,,,
5/24/2016,09:27:00,40.374,40.374,,32.9,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:27:10,40.248,43.123,22.8,33.9,4.9,1.95,0.81,0.50,,,,,,,
5/24/2016,09:27:20,100.738,102.177,,33.5,,,,,,,,,,,
5/24/2016,09:27:30,51.844,53.284,,33.3,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:27:40,31.726,33.168,22.9,32.8,,1.96,0.82,0.50,,,,,,,
5/24/2016,09:27:50,34.660,36.104,,32.3,,,,,,,,,,,
5/24/2016,09:28:00,23.161,23.161,,31.5,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:28:10,11.538,12.980,22.8,32.8,4.9,1.95,0.81,0.50,,,,,,,
5/24/2016,09:28:20,14.396,15.836,,33.4,,,,,,,,,,,
5/24/2016,09:28:30,14.399,14.399,,33.3,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:28:40,28.779,30.218,22.9,33.6,,1.96,0.82,0.50,,,,,,,
5/24/2016,09:28:50,51.856,51.856,,33.2,,,,,,,,,,,
5/24/2016,09:29:00,23.034,23.034,,33.4,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:29:10,54.756,54.756,23.0,33.1,4.8,1.95,0.81,0.50,,,,,,,
5/24/2016,09:29:20,80.600,80.600,,33.5,,,,,,,,,,,
5/24/2016,09:29:30,28.838,28.838,,32.9,,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:29:40,46.062,47.502,22.9,33.5,,1.95,0.81,0.50,,,,,,,
5/24/2016,09:29:50,37.490,37.490,,32.9,,,,,,,,,,,
5/24/2016,09:30:00,28.759,28.759,,33.8,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:30:10,54.842,56.285,22.9,32.6,4.8,1.95,0.81,0.50,,,,,,,
